date,temperature,radiation,wind,precipitation
1980-01-01,-4.5323,2.8897,10.5935,0.8613
1980-02-01,0.9862,5.0579,11.5241,1.4207
1980-03-01,2.2871,9.4084,15.2677,0.8258
1980-04-01,6.37,13.231,13.0267,3.0267
1980-05-01,10.6355,19.3681,11.1,0.7677
1980-06-01,16.0567,17.7557,12.4033,2.9867
1980-07-01,16.4548,15.0729,11.8065,3.0581
1980-08-01,17.0645,13.7739,12.8806,1.8742
1980-09-01,14.41,10.786,11.35,1.4633
1980-10-01,9.2323,5.5971,15.5613,1.7871
1980-11-01,3.7533,2.5657,16.7533,1.4433
1980-12-01,1.0871,1.7684,16.9355,1.1903
1981-01-01,-1.2258,2.59,15.2484,2.1935
1981-02-01,0.7929,4.9989,14.95,0.8964
1981-03-01,6.7226,7.6045,14.1129,3.4032
1981-04-01,7.8,15.6547,12.2267,1.2633
1981-05-01,14.5258,18.901,11.7258,2.0806
1981-06-01,16.83,16.4463,12.63,1.4733
1981-07-01,17.7581,15.039,11.4968,2.3968
1981-08-01,17.1581,13.7703,11.9774,2.4806
1981-09-01,14.9867,10.7023,9.3667,2.1567
1981-10-01,9.0258,5.5639,14.4903,2.6774
1981-11-01,5.1267,2.9377,17.5267,1.7033
1981-12-01,-3.5194,2.141,13.1645,1.8323
1982-01-01,-2.229,2.7465,12.1258,1.6806
1982-02-01,0.125,5.5989,10.35,0.1929
1982-03-01,5.0484,10.6132,13.7,1.5032
1982-04-01,6.7333,15.788,13.32,1.0267
1982-05-01,13.2742,18.6871,10.5387,1.4258
1982-06-01,17.3833,18.6807,12.16,2.59
1982-07-01,19.7,19.4952,10.1516,1.629
1982-08-01,19.9806,16.0871,11.6097,0.7484
1982-09-01,17.63,12.435,10.5867,0.52
1982-10-01,11.071,5.8974,12.5419,1.8903
1982-11-01,6.5533,3.386,14.0433,0.7933
1982-12-01,2.3258,1.8161,14.9677,1.4226
1983-01-01,4.7065,2.2435,21.3161,1.8129
1983-02-01,-1.3286,4.9004,12.6893,1.0786
1983-03-01,5.3129,8.1113,14.771,1.1226
1983-04-01,9.2733,13.127,12.5567,2.6067
1983-05-01,13.3032,15.559,10.5,3.6097
1983-06-01,16.55,19.0867,10.94,0.7733
1983-07-01,20.871,20.7129,11.8032,0.6032
1983-08-01,19.2613,16.1994,10.4065,2.3677
1983-09-01,15.1467,9.684,14.9233,1.47
1983-10-01,10.2065,5.6403,16.2742,1.3161
1983-11-01,4.37,3.1313,13.0233,1.3733
1983-12-01,0.9097,2.1787,14.6452,1.871
1984-01-01,1.5323,2.5171,17.8097,2.1387
1984-02-01,0.4862,5.3334,12.9517,1.3103
1984-03-01,2.3161,10.2587,11.9935,0.329
1984-04-01,7.61,14.7123,10.2,1.12
1984-05-01,12.9871,15.3352,11.5226,2.8129
1984-06-01,14.59,14.8347,15.1167,2.1433
1984-07-01,16.5387,15.2042,13.1,1.6032
1984-08-01,18.6871,15.4835,9.7839,1.7129
1984-09-01,13.3633,8.521,13.63,2.3867
1984-10-01,11.3677,5.6571,14.4,1.1677
1984-11-01,4.6567,3.546,14.6233,1.78
1984-12-01,0.6613,2.0094,12.3129,0.8548
1985-01-01,-5.9194,2.9503,13.2613,1.0516
1985-02-01,-2.7643,5.4082,14.0821,0.7857
1985-03-01,3.4065,7.8813,12.2129,1.3903
1985-04-01,7.9967,14.1763,13.3633,2.0833
1985-05-01,14.6484,18.8374,12.2839,1.5613
1985-06-01,14.83,16.673,12.1533,2.3967
1985-07-01,18.2226,17.8439,11.4323,1.3806
1985-08-01,17.8774,15.0848,10.729,2.3581
1985-09-01,14.05,9.2867,14.88,1.4567
1985-10-01,10.3452,5.8229,10.6161,0.5355
1985-11-01,1.7267,2.955,15.1233,0.9967
1985-12-01,4.0,1.6613,15.3742,2.4226
1986-01-01,-0.0774,2.6229,17.0839,1.8903
1986-02-01,-6.8429,6.3668,12.8036,0.7536
1986-03-01,3.2968,8.6506,14.2742,1.8742
1986-04-01,6.91,12.2177,11.76,2.1033
1986-05-01,14.8839,17.6423,11.5194,3.1323
1986-06-01,16.16,19.4493,11.7633,2.3333
1986-07-01,18.5839,17.8352,11.2065,1.5839
1986-08-01,17.571,14.8742,11.2387,2.2226
1986-09-01,11.9867,8.492,12.56,1.3567
1986-10-01,10.1387,6.2758,13.5387,1.6129
1986-11-01,6.8267,3.4753,14.6133,0.74
1986-12-01,2.1484,1.8106,16.2677,3.1161
1987-01-01,-8.1452,3.1071,13.8387,1.8097
1987-02-01,-1.1036,4.4479,12.4286,1.4929
1987-03-01,0.0742,10.0494,12.8452,0.7839
1987-04-01,8.88,13.7797,10.8867,1.6167
1987-05-01,10.7355,16.531,11.9548,1.9516
1987-06-01,14.97,15.6683,11.4767,2.5833
1987-07-01,17.6645,16.649,11.4742,3.6774
1987-08-01,16.1452,13.521,12.2,2.2806
1987-09-01,14.55,9.7723,12.19,2.4367
1987-10-01,10.3226,6.829,14.0097,0.5387
1987-11-01,6.0433,1.923,13.6167,2.06
1987-12-01,2.4645,1.7255,13.1516,1.2
1988-01-01,3.4194,2.359,14.1774,1.4968
1988-02-01,2.6862,5.0676,16.5517,3.1276
1988-03-01,2.7129,8.8074,14.229,2.1258
1988-04-01,8.3367,15.6823,12.83,0.2433
1988-05-01,15.8484,19.8852,13.0903,0.5097
1988-06-01,16.5167,16.3943,10.7467,2.9267
1988-07-01,18.6613,17.0677,11.2355,2.2194
1988-08-01,18.0645,14.7739,10.4484,1.1129
