# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 348         4.926       51.970      -0.70       Cabauw Mast
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# PG        : Etmaalgemiddelde luchtdruk herleid tot zeeniveau (in 0.1 hPa) berekend uit 24 uurwaarden / Daily mean sea level pressure (in 0.1 hPa) calculated from 24 hourly values
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TG,   PG,   UG
  348,20200101,   31,   18,10317,   98
  348,20200102,   48,   41,10237,   97
  348,20200103,   64,   74,10191,   91
  348,20200104,   49,   65,10301,   91
  348,20200105,   40,   66,10331,   91
  348,20200106,   49,   58,10240,   86
  348,20200107,   57,   61,10239,   95
  348,20200108,   54,  101,10215,   97
  348,20200109,   67,  115,10104,   94
  348,20200110,   40,   61,10202,   91
  348,20200111,   64,   57,10276,   84
  348,20200112,   71,   73,10195,   88
  348,20200113,   63,   75,10135,   90
  348,20200114,  100,  105,10027,   87
  348,20200115,   75,   91,10106,   82
  348,20200116,   50,   69,10213,   89
  348,20200117,   65,   80,10145,   83
  348,20200118,   43,   41,10248,   88
  348,20200119,   30,   36,10404,   88
  348,20200120,   20,   27,10468,   97
  348,20200121,   28,    7,10416,   99
  348,20200122,   20,   42,10369,   99
  348,20200123,   17,   42,10312,   95
  348,20200124,   26,   25,10236,   96
  348,20200125,   35,   20,10211,   95
  348,20200126,   45,   56,10138,   92
  348,20200127,   56,   81,10022,   93
  348,20200128,   82,   51, 9937,   85
  348,20200129,   70,   59,10065,   80
  348,20200130,   76,   82,10053,   92
  348,20200131,   84,  108,10067,   91
  348,20200201,   86,  103,10039,   85
  348,20200202,   65,   89,10074,   90
  348,20200203,   68,   90,10102,   86
  348,20200204,   65,   52,10163,   86
  348,20200205,   20,   46,10350,   86
  348,20200206,   19,   45,10318,   91
  348,20200207,   40,   41,10243,   80
  348,20200208,   48,   70,10179,   89
  348,20200209,  138,   97, 9984,   85
  348,20200210,  128,   79, 9939,   72
  348,20200211,  116,   60,10033,   62
  348,20200212,   77,   48,10125,   73
  348,20200213,   57,   57,10016,   91
  348,20200214,   48,   71,10179,   83
  348,20200215,   88,  104,10127,   79
  348,20200216,  129,  119, 9995,   82
  348,20200217,  101,   77,10107,   78
  348,20200218,   95,   73,10173,   79
  348,20200219,   71,   63,10174,   80
  348,20200220,   93,   81,10124,   83
  348,20200221,   81,   69,10223,   78
  348,20200222,  111,   90,10175,   83
  348,20200223,   98,   86,10147,   86
  348,20200224,   85,   75,10109,   90
  348,20200225,   68,   59, 9980,   79
  348,20200226,   50,   31, 9995,   89
  348,20200227,   39,   28,10021,   90
  348,20200228,   65,   43,10096,   88
  348,20200229,   99,   84, 9901,   79
  348,20200301,   88,   59, 9911,   79
  348,20200302,   41,   53, 9905,   93
  348,20200303,   44,   41,10023,   86
  348,20200304,   39,   67,10087,   83
  348,20200305,   50,   58, 9945,   91
  348,20200306,   51,   65, 9999,   84
  348,20200307,   53,   67,10161,   81
  348,20200308,   75,   85,10091,   86
  348,20200309,   59,   75,10109,   86
  348,20200310,  105,  101,10037,   95
  348,20200311,   65,  109,10091,   90
  348,20200312,  109,   83,10086,   70
  348,20200313,   62,   65,10165,   84
  348,20200314,   49,   70,10184,   85
  348,20200315,   56,   93,10123,   83
  348,20200316,   23,   72,10204,   87
  348,20200317,   45,   72,10283,   79
  348,20200318,   46,   95,10256,   75
  348,20200319,   28,   85,10258,   91
  348,20200320,   50,   67,10278,   79
  348,20200321,   63,   51,10286,   62
  348,20200322,   60,   47,10305,   54
  348,20200323,   56,   47,10317,   46
  348,20200324,   42,   54,10301,   45
  348,20200325,   38,   62,10266,   42
  348,20200326,   46,   68,10234,   43
  348,20200327,   46,   79,10212,   61
  348,20200328,   69,   70,10253,   70
  348,20200329,   78,   44,10323,   56
  348,20200330,   30,   35,10308,   81
  348,20200331,   36,   38,10304,   68
  348,20200401,   18,   35,10221,   80
  348,20200402,   47,   69,10134,   79
  348,20200403,   38,   65,10169,   77
  348,20200404,   34,   83,10233,   57
  348,20200405,   50,  129,10192,   50
  348,20200406,   46,  134,10197,   64
  348,20200407,   27,  125,10298,   67
  348,20200408,   18,  150,10246,   69
  348,20200409,   31,  131,10260,   71
  348,20200410,   31,  118,10268,   63
  348,20200411,   20,  127,10232,   58
  348,20200412,   25,  141,10153,   71
  348,20200413,   70,   77,10237,   60
  348,20200414,   30,   65,10275,   70
  348,20200415,   15,   87,10235,   71
  348,20200416,   30,  126,10170,   65
  348,20200417,   45,  108,10176,   67
  348,20200418,   28,  106,10164,   79
  348,20200419,   48,  128,10189,   48
  348,20200420,   67,  130,10191,   40
  348,20200421,   65,  142,10183,   41
  348,20200422,   53,  148,10202,   46
  348,20200423,   26,  148,10189,   57
  348,20200424,   39,  122,10145,   71
  348,20200425,   31,   92,10148,   72
  348,20200426,   16,   90,10122,   79
  348,20200427,   27,  123,10076,   71
  348,20200428,   33,   96,10044,   92
  348,20200429,   45,  118,10031,   86
  348,20200430,   64,  114, 9985,   74
  348,20200501,   64,  105, 9994,   81
  348,20200502,   48,  102,10094,   78
  348,20200503,   26,  122,10170,   78
  348,20200504,   43,  111,10199,   76
  348,20200505,   40,   93,10227,   66
  348,20200506,   27,  108,10259,   64
  348,20200507,   15,  128,10234,   67
  348,20200508,   15,  154,10182,   64
  348,20200509,   32,  175,10123,   58
  348,20200510,   56,  131,10082,   73
  348,20200511,   80,   81,10161,   56
  348,20200512,   26,   75,10187,   70
  348,20200513,   44,   73,10152,   71
  348,20200514,   35,   73,10212,   65
  348,20200515,   25,   89,10231,   71
  348,20200516,   39,  101,10230,   75
  348,20200517,   34,  125,10236,   69
  348,20200518,   39,  145,10227,   69
  348,20200519,   34,  157,10224,   74
  348,20200520,   20,  168,10231,   73
  348,20200521,   20,  199,10205,   63
  348,20200522,   61,  186,10170,   62
  348,20200523,   78,  148,10221,   67
  348,20200524,   49,  135,10288,   83
  348,20200525,   34,  154,10341,   76
  348,20200526,   21,  160,10352,   72
  348,20200527,   41,  154,10345,   72
  348,20200528,   43,  141,10337,   63
  348,20200529,   38,  152,10280,   63
  348,20200530,   38,  178,10238,   52
  348,20200531,   43,  173,10232,   53
  348,20200601,   35,  186,10220,   59
  348,20200602,   23,  188,10159,   65
  348,20200603,   41,  165,10051,   77
  348,20200604,   51,  126, 9984,   82
  348,20200605,   53,   98, 9944,   85
  348,20200606,   80,  114, 9985,   74
  348,20200607,   51,  126,10071,   83
  348,20200608,   42,  140,10149,   78
  348,20200609,   30,  129,10193,   70
  348,20200610,   22,  140,10160,   76
