date,output,prices,rate
1965-01-01,341.18207532992864,344.297891567711,3.9
1965-02-01,341.8018444325758,344.297891567711,3.98
1965-03-01,343.11703376124126,344.3937535338314,4.05
1965-04-01,343.5515068963618,344.61707473048864,4.09
1965-05-01,344.32921658418906,344.93524235492026,4.1
1965-06-01,345.10060745740867,345.3473526227526,4.05
1965-07-01,346.03558311338054,345.2524008827496,4.09
1965-08-01,346.4578983826979,345.15735889872224,4.12
1965-09-01,346.71037169153425,345.3789831781326,4.02
1965-10-01,347.7136295666006,345.47381485901855,4.08
1965-11-01,348.128624211679,345.7892725338701,4.1
1965-12-01,349.363677804146,346.10373820181724,4.32
1966-01-01,350.3410950874109,346.19788539220144,4.42
1966-02-01,350.9872398287812,346.8232782998314,4.6
1966-03-01,352.34681103219236,347.13451415642373,4.66
1966-04-01,352.5053788855813,347.4447843401748,4.67
1966-05-01,353.452417002332,347.66140209469097,4.9
1966-06-01,353.9227390322985,347.7540948249489,5.17
1966-07-01,354.4685705778128,347.9700443150099,5.3
1966-08-01,354.54622142714175,348.58448557224403,5.53
1966-09-01,355.4745022555123,348.8902962081261,5.4
1966-10-01,356.16481740378936,349.195174493062,5.53
1966-11-01,355.47421636846906,349.2864570187979,5.76
1966-12-01,355.7049470414885,349.4080375808869,5.4
1967-01-01,356.1756057784744,349.3472657771326,4.94
1967-02-01,355.0349877064596,349.650756146648,5.0
1967-03-01,354.4697256790285,349.650756146648,4.53
1967-04-01,355.40844062705,349.95332823830176,4.05
1967-05-01,354.5320813392476,349.95332823830176,3.94
1967-06-01,354.51967104330384,350.5557396986398,3.98
1967-07-01,354.2916827167173,350.85558999826543,3.79
1967-08-01,356.18951538591944,351.15454388310206,3.9
1967-09-01,356.02702135136377,351.4526066969159,3.99
1967-10-01,356.8379919613306,351.7497837358316,3.88
1967-11-01,358.2582388919361,352.3415014386404,4.13
1967-12-01,359.32932362146016,352.63605246161615,4.51
1968-01-01,359.221711054809,352.9297384289471,4.61
1968-02-01,359.57932993314984,353.22256440685595,4.71
1968-03-01,359.8910981952143,353.5145354171894,5.05
1968-04-01,360.0356935925355,353.8056564379353,5.76
1968-05-01,361.1512330537493,354.0959324037314,6.12
1968-06-01,361.5179091183979,354.67396869528136,6.07
1968-07-01,361.364392342803,355.2486829208382,6.03
1968-08-01,361.6429721705029,355.53480614894136,6.03
1968-09-01,362.02097446902144,355.820113047182,5.78
1968-10-01,362.219463131794,356.3882963939251,5.91
1968-11-01,363.50460943848077,356.6711820139729,5.82
1968-12-01,363.8199129716627,357.2345637857985,6.02
1969-01-01,364.42298310609175,357.5150688785593,6.3
1969-02-01,365.0608889426604,357.79478934066543,6.61
1969-03-01,365.84202466292277,358.6292865338835,6.79
1969-04-01,365.47356317137627,359.1817741270805,7.41
1969-05-01,365.0946511428222,359.4568774642695,8.67
1969-06-01,366.06702907000374,360.00482404073205,8.9
1969-07-01,366.5935748793299,360.54978451748855,8.61
1969-08-01,366.8230218546086,360.82115510464814,9.19
1969-09-01,366.8005603262624,361.36169696133896,9.15
1969-10-01,366.8299124485678,361.89933266497695,9.0
1969-11-01,365.88273802339387,362.43409329763654,8.85
1969-12-01,365.61392967242637,362.9660094453965,8.97
1970-01-01,363.7449308257387,363.49511120883807,8.98
1970-02-01,363.6791106913536,364.02142821326555,8.98
1970-03-01,363.54918629539,364.54498961866,7.76
1970-04-01,363.2917383193866,365.0658241293739,8.1
1970-05-01,363.17507457151294,365.3252276470785,7.95
1970-06-01,362.8510893261095,365.84202466292277,7.61
1970-07-01,363.09616343512283,366.09942506244005,7.21
1970-08-01,362.91772192678155,366.3561646129646,6.62
1970-09-01,362.2261438993365,366.86767467964165,6.29
1970-10-01,360.2054423397125,367.3765816303888,6.2
1970-11-01,359.5979866496219,367.8829118260435,5.6
1970-12-01,361.86849681202074,368.3866912290392,4.9
1971-01-01,362.6346919639102,368.63763238958177,4.14
1971-02-01,362.44395947757965,368.63763238958177,3.72
1971-03-01,362.33564485305425,368.8879454113936,3.71
1971-04-01,362.8956929519555,369.13763343125237,4.16
1971-05-01,363.40166386647485,369.6351468952637,4.63
1971-06-01,363.8201759679531,370.13019741124936,4.91
1971-07-01,363.5296698804407,370.3768066607687,5.31
1971-08-01,362.9474400821397,370.622809244855,5.57
1971-09-01,364.5596099597578,370.8682081410116,5.55
1971-10-01,365.305536589346,371.11300630487557,5.2
1971-11-01,365.72881627650685,371.3572066704308,4.91
1971-12-01,366.87660285249706,371.6008121502189,4.14
1972-01-01,369.2393273413733,371.84382563554806,3.51
1972-02-01,370.2434665708427,372.3280880831269,3.3
1972-03-01,370.93264815828564,372.3280880831269,3.83
1972-04-01,371.9282560024981,372.5693427236652,4.17
1972-05-01,371.94207832265715,372.81001672672176,4.27
1972-06-01,372.2065166304325,373.0501128804756,4.46
1972-07-01,372.09472421389796,373.289633953071,4.55
1972-08-01,373.47845079713176,373.5285826928092,4.81
1972-09-01,374.2732968339962,374.00477406883357,4.87
1972-10-01,375.5355160196557,374.2420221041966,5.05
1972-11-01,376.7108209878728,374.7148362237912,5.06
1972-12-01,377.81875665862566,374.95040759303714,5.33
1973-01-01,378.53911844944355,375.4198920234579,5.94
1973-02-01,379.9586402097669,376.1200115693562,6.58
1973-03-01,380.0074167693464,377.0459441106359,7.09
1973-04-01,379.86011957852065,377.7348102101544,7.12
1973-05-01,380.5392795160272,378.19143200811254,7.84
1973-06-01,380.6740264523563,378.8724789083652,8.49
1973-07-01,381.02914526675954,378.8724789083652,10.4
1973-08-01,380.8924374224352,380.66624897703196,10.5
1973-09-01,381.68856106956207,381.10970868381855,10.78
1973-10-01,382.53097658093355,381.990771652034,10.01
1973-11-01,382.98428483696944,382.64651170664996,10.03
1973-12-01,382.69660808877865,383.5141961092188,9.95
1974-01-01,382.0354984901976,384.5883202923601,9.65
1974-02-01,381.71825153023525,385.6510295497887,8.97
1974-03-01,381.72220959236853,386.70256394974103,9.35
1974-04-01,381.4302122211908,387.3282177111716,10.51
1974-05-01,382.2194573353056,388.36235309064483,11.31
1974-06-01,382.04295101869053,389.18202981106265,11.93
1974-07-01,382.2581769630309,389.7924081048644,12.92
1974-08-01,381.1906493693334,391.0021002757473,12.01
1974-09-01,381.1904283091509,392.395157629342,11.34
1974-10-01,380.91771032558387,393.18256327243256,10.06
1974-11-01,377.5694561844015,394.15818076696905,9.45
1974-12-01,373.8937861342098,394.9318790171843,8.53
1975-01-01,372.49123994222526,395.6996371070877,7.13
1975-02-01,370.1709298552037,396.2716119743664,6.24
1975-03-01,369.0473183452394,396.6511190712216,5.54
1975-04-01,369.28042420476663,397.0291913552122,5.49
1975-05-01,368.95117541701165,397.2176928247893,5.22
1975-06-01,369.5785552028036,397.9681653901961,5.55
1975-07-01,370.62133503251425,398.89840465642743,6.1
1975-08-01,371.6003255310301,399.26809084456005,6.14
1975-09-01,372.8830669616164,400.0033882750859,6.24
1975-10-01,373.3219253895432,400.55133485154846,5.82
1975-11-01,373.4562414970752,401.2772908528289,5.22
1975-12-01,374.81243009491067,401.81832012565366,5.2
1976-01-01,376.1228022280914,402.1773869387265,4.87
1976-02-01,377.0986951717754,402.3564380161053,4.77
1976-03-01,377.3147070432503,402.53516907351496,4.84
1976-04-01,377.8096106029701,402.7135812528651,4.82
1976-05-01,378.23379205547866,403.2469158504013,5.29
1976-06-01,378.33642934184735,403.77742107337065,5.48
1976-07-01,378.90437427374144,404.305126783455,5.31
1976-08-01,379.58980943231325,404.8300623720694,5.29
1976-09-01,379.93491456760836,405.35225677018457,5.25
1976-10-01,379.90446587454,405.871738457895,5.02
1976-11-01,381.4172000459668,406.21656638578656,4.95
1976-12-01,382.4925806574107,406.73158898341813,4.65
1977-01-01,381.79035164700423,407.2439726834051,4.61
1977-02-01,383.3579185518719,408.260930600368,4.68
1977-03-01,384.6278423958777,408.7655574071304,4.69
1977-04-01,385.58419961256635,409.43445622221003,4.73
1977-05-01,386.36958340610033,409.76723523147757,5.35
1977-06-01,387.1442648377872,410.2643365036796,5.39
1977-07-01,387.2720688945404,410.75897889721216,5.42
1977-08-01,387.3708281742437,411.25118661775497,5.9
1977-09-01,387.7822788466773,411.57798429421655,6.14
1977-10-01,387.92332492718197,412.06618705394743,6.47
1977-11-01,388.10708929805884,412.71343850450916,6.51
1977-12-01,388.2859864902181,413.19614257934074,6.56
1978-01-01,386.8031409691585,413.8361447638875,6.7
1978-02-01,387.33736490195093,414.31347263915325,6.78
1978-03-01,389.23609682487125,414.94638614431796,6.79
1978-04-01,391.243492057945,415.7319361383489,6.89
1978-05-01,391.70901457611643,416.66652238017264,7.36
1978-06-01,392.35582183058983,417.4387269895637,7.6
1978-07-01,392.273344336632,418.2050142641207,7.81
1978-08-01,392.6828855876523,418.81384415084614,8.04
1978-09-01,392.93598500814204,419.72019476618084,8.45
1978-10-01,393.6830733343714,420.6184043977636,8.96
1978-11-01,394.4517300716209,421.2127597878484,9.76
1978-12-01,394.94921855426213,421.80360345646505,10.03
1979-01-01,394.4060287098544,422.68337452681794,10.07
1979-02-01,394.8840833965117,423.70008626236245,10.06
1979-03-01,395.21010432812534,424.70656492397643,10.09
1979-04-01,394.0013588365073,425.7030144499196,10.01
1979-05-01,394.9041295026227,426.8297869345539,10.24
1979-06-01,394.92513505182643,427.9440045898781,10.29
1979-07-01,394.7577390421976,429.0459441148391,10.47
1979-08-01,394.09680271119265,430.00027991952913,10.94
1979-09-01,394.0798977065909,430.94559418390463,11.43
1979-10-01,394.80347291239855,432.0151230955794,13.77
1979-11-01,394.64843337329853,433.0733340286331,13.18
1979-12-01,394.71546002904347,434.25058765115983,13.78
1980-01-01,395.2548636036955,435.67088266895917,13.82
1980-02-01,395.28193996207153,436.94478524670217,14.13
1980-03-01,394.87405883633085,438.3275854074314,17.19
1980-04-01,392.86775454383826,439.3213824064446,17.61
1980-05-01,390.37690349418006,440.3054001865957,10.98
