date,unemployment,employment,pce,pce_services,pce_price,pce_services_price,core_pce_price
1988-12-01,5.3,106898,3459.7,2073.8,55.928,45.762,56.864
1989-01-01,5.4,107161,3483.7,2085.0,56.215,45.983,57.152
1989-02-01,5.2,107427,3488.0,2106.3,56.402,46.145,57.297
1989-03-01,5.0,107621,3498.8,2112.3,56.612,46.340,57.468
1989-04-01,5.2,107791,3543.0,2122.0,56.989,46.505,57.661
1989-05-01,5.2,107913,3551.8,2134.0,57.197,46.658,57.833
1989-06-01,5.3,108027,3566.6,2142.1,57.322,46.812,57.987
1989-07-01,5.2,108069,3585.7,2155.7,57.459,46.969,58.136
1989-08-01,5.2,108120,3620.6,2166.9,57.466,47.104,58.217
1989-09-01,5.3,108369,3621.9,2179.8,57.594,47.257,58.419
1989-10-01,5.3,108476,3633.6,2196.7,57.819,47.429,58.631
1989-11-01,5.4,108752,3643.3,2204.6,57.945,47.574,58.787
1989-12-01,5.4,108836,3684.2,2230.1,58.113,47.782,58.954
1990-01-01,5.4,109196,3730.7,2229.0,58.553,47.966,59.181
1990-02-01,5.3,109436,3728.2,2246.6,58.811,48.125,59.468
1990-03-01,5.2,109640,3754.9,2269.6,59.033,48.398,59.754
1990-04-01,5.4,109674,3770.0,2287.8,59.157,48.569,59.932
1990-05-01,5.4,109828,3775.8,2303.1,59.290,48.740,60.115
1990-06-01,5.2,109850,3804.5,2321.6,59.552,48.990,60.349
1990-07-01,5.5,109815,3821.7,2334.3,59.699,49.098,60.501
1990-08-01,5.7,109607,3848.3,2354.8,60.096,49.374,60.753
1990-09-01,5.9,109522,3870.1,2361.0,60.465,49.555,60.965
1990-10-01,5.9,109377,3870.6,2368.1,60.811,49.749,61.172
1990-11-01,6.2,109222,3871.9,2365.7,60.888,49.859,61.246
1990-12-01,6.3,109168,3861.3,2370.8,60.945,49.919,61.331
1991-01-01,6.4,109058,3841.0,2375.3,61.177,50.180,61.637
1991-02-01,6.6,108735,3866.7,2388.8,61.208,50.293,61.807
1991-03-01,6.8,108568,3913.0,2399.0,61.221,50.398,61.936
1991-04-01,6.7,108350,3907.1,2415.4,61.332,50.459,62.060
1991-05-01,6.9,108253,3933.2,2432.9,61.586,50.710,62.307
1991-06-01,6.9,108330,3940.5,2441.4,61.690,50.857,62.442
1991-07-01,6.8,108290,3966.0,2455.5,61.787,51.004,62.632
1991-08-01,6.9,108300,3969.1,2463.0,61.931,51.148,62.804
1991-09-01,6.9,108335,3984.7,2475.2,62.144,51.375,63.055
1991-10-01,7.0,108361,3976.0,2483.5,62.260,51.528,63.194
1991-11-01,7.0,108300,4003.6,2503.6,62.397,51.598,63.312
1991-12-01,7.3,108330,4020.5,2518.6,62.553,51.806,63.468
1992-01-01,7.3,108365,4084.7,2549.1,62.638,51.965,63.641
1992-02-01,7.4,108312,4099.5,2559.7,62.797,52.129,63.814
1992-03-01,7.4,108367,4117.0,2590.9,62.949,52.284,63.973
1992-04-01,7.4,108516,4131.5,2598.2,63.119,52.481,64.183
1992-05-01,7.6,108646,4158.4,2608.0,63.203,52.543,64.273
1992-06-01,7.8,108706,4177.1,2616.1,63.315,52.619,64.323
1992-07-01,7.7,108793,4204.8,2641.3,63.524,52.834,64.566
1992-08-01,7.6,108916,4220.9,2647.7,63.609,52.899,64.625
1992-09-01,7.6,108951,4255.3,2672.5,63.713,53.034,64.730
1992-10-01,7.3,109139,4284.7,2688.1,63.938,53.297,64.979
1992-11-01,7.4,109283,4300.5,2714.9,64.064,53.435,65.121
1992-12-01,7.4,109502,4336.4,2725.0,64.176,53.571,65.242
1993-01-01,7.3,109790,4340.7,2724.1,64.332,53.763,65.432
1993-02-01,7.1,110047,4355.3,2749.7,64.429,53.842,65.557
1993-03-01,7.0,110004,4352.5,2753.8,64.561,54.045,65.700
1993-04-01,7.1,110300,4393.4,2768.0,64.733,54.218,65.891
1993-05-01,7.1,110571,4422.4,2778.7,64.933,54.493,66.114
1993-06-01,7.0,110742,4440.0,2806.5,64.955,54.582,66.177
1993-07-01,6.9,111054,4468.9,2818.5,65.059,54.716,66.314
1993-08-01,6.8,111200,4481.1,2839.2,65.170,54.830,66.438
1993-09-01,6.7,111448,4511.5,2856.4,65.238,54.983,66.538
1993-10-01,6.8,111734,4532.8,2863.7,65.443,55.075,66.647
1993-11-01,6.6,111987,4554.1,2872.7,65.567,55.189,66.819
1993-12-01,6.5,112325,4571.1,2884.3,65.582,55.253,66.849
1994-01-01,6.6,112601,4585.1,2895.6,65.604,55.326,66.902
1994-02-01,6.6,112782,4632.6,2921.5,65.756,55.513,67.047
1994-03-01,6.5,113245,4646.0,2929.6,65.937,55.723,67.275
1994-04-01,6.4,113589,4671.1,2938.0,66.015,55.794,67.376
1994-05-01,6.1,113922,4669.5,2956.7,66.111,55.893,67.526
1994-06-01,6.1,114239,4708.9,2974.4,66.272,56.009,67.676
1994-07-01,6.1,114608,4720.6,2979.3,66.481,56.135,67.818
1994-08-01,6.0,114902,4762.6,2995.7,66.634,56.238,67.894
1994-09-01,5.9,115246,4775.0,3006.7,66.708,56.328,67.997
1994-10-01,5.8,115457,4812.9,3022.2,66.821,56.504,68.157
1994-11-01,5.6,115867,4825.6,3031.4,66.948,56.633,68.282
1994-12-01,5.5,116174,4841.6,3042.1,66.991,56.697,68.305
1995-01-01,5.6,116505,4851.2,3054.7,67.127,56.853,68.475
1995-02-01,5.4,116694,4850.8,3076.7,67.246,57.010,68.587
1995-03-01,5.4,116908,4885.4,3091.6,67.370,57.171,68.755
1995-04-01,5.8,117066,4890.2,3108.7,67.547,57.329,68.915
1995-05-01,5.6,117046,4933.1,3129.8,67.651,57.480,69.032
1995-06-01,5.6,117291,4977.5,3150.6,67.717,57.593,69.092
1995-07-01,5.7,117382,4970.2,3156.3,67.802,57.692,69.201
1995-08-01,5.7,117646,5005.3,3181.4,67.948,57.858,69.367
1995-09-01,5.6,117873,5020.5,3179.6,67.995,57.936,69.458
1995-10-01,5.5,118026,5013.9,3194.3,68.171,58.136,69.627
1995-11-01,5.6,118165,5055.6,3213.4,68.169,58.212,69.672
1995-12-01,5.6,118325,5097.5,3227.5,68.300,58.318,69.770
1996-01-01,5.6,118317,5085.7,3239.8,68.452,58.393,69.849
1996-02-01,5.5,118738,5132.8,3260.3,68.560,58.501,69.940
1996-03-01,5.5,118992,5173.3,3278.8,68.767,58.634,70.102
1996-04-01,5.6,119158,5208.0,3290.9,68.973,58.815,70.197
1996-05-01,5.6,119497,5223.8,3305.7,69.092,59.009,70.319
1996-06-01,5.3,119770,5229.8,3317.3,69.091,59.110,70.373
1996-07-01,5.5,120019,5251.9,3334.7,69.237,59.290,70.505
1996-08-01,5.1,120198,5275.0,3347.1,69.303,59.421,70.566
1996-09-01,5.2,120400,5296.6,3364.0,69.499,59.610,70.780
1996-10-01,5.2,120665,5328.5,3376.4,69.709,59.808,70.948
1996-11-01,5.4,120947,5351.2,3392.5,69.833,59.937,71.041
1996-12-01,5.4,121143,5378.6,3415.6,69.914,60.034,71.068
1997-01-01,5.3,121356,5411.1,3435.7,70.005,60.139,71.144
1997-02-01,5.2,121673,5434.0,3448.9,70.151,60.305,71.290
1997-03-01,5.2,121991,5454.2,3454.9,70.225,60.465,71.460
1997-04-01,5.1,122289,5459.3,3483.3,70.294,60.618,71.600
1997-05-01,4.9,122560,5460.2,3497.0,70.262,60.676,71.652
1997-06-01,5.0,122816,5494.2,3510.6,70.352,60.889,71.758
1997-07-01,4.9,123114,5548.8,3542.0,70.394,60.980,71.807
1997-08-01,4.8,123087,5587.0,3556.7,70.450,61.031,71.778
1997-09-01,4.9,123575,5601.7,3578.5,70.620,61.219,71.927
1997-10-01,4.7,123924,5637.7,3609.1,70.712,61.347,72.036
1997-11-01,4.6,124225,5661.1,3607.6,70.716,61.445,72.058
1997-12-01,4.7,124549,5692.1,3639.2,70.701,61.482,72.100
1998-01-01,4.6,124806,5689.9,3647.4,70.736,61.599,72.210
1998-02-01,4.6,125017,5723.8,3677.9,70.699,61.674,72.272
1998-03-01,4.7,125165,5750.3,3705.5,70.710,61.834,72.349
1998-04-01,4.3,125445,5788.1,3716.4,70.798,61.938,72.482
1998-05-01,4.4,125845,5837.9,3741.9,70.895,62.071,72.552
1998-06-01,4.5,126076,5871.7,3771.9,70.835,62.034,72.461
1998-07-01,4.5,126212,5890.0,3786.4,71.010,62.220,72.665
1998-08-01,4.5,126546,5925.0,3806.9,71.108,62.364,72.807
1998-09-01,4.6,126744,5965.6,3827.6,71.067,62.390,72.795
1998-10-01,4.5,126949,5998.8,3834.5,71.223,62.572,72.937
1998-11-01,4.4,127222,6015.4,3843.5,71.226,62.637,72.950
1998-12-01,4.4,127595,6070.5,3865.7,71.298,62.726,73.076
1999-01-01,4.3,127699,6073.9,3885.5,71.398,62.791,73.180
1999-02-01,4.4,128117,6099.2,3890.3,71.358,62.857,73.155
1999-03-01,4.2,128234,6133.0,3915.6,71.412,62.979,73.177
1999-04-01,4.3,128595,6199.5,3943.9,71.757,63.079,73.365
1999-05-01,4.2,128813,6232.1,3956.0,71.804,63.205,73.435
1999-06-01,4.3,129084,6260.3,3972.8,71.826,63.258,73.474
1999-07-01,4.3,129422,6287.6,4000.5,72.017,63.412,73.606
1999-08-01,4.2,129572,6331.9,4020.7,72.148,63.517,73.642
