date,gscpi,oil,output,ppi,prices,rate
1998-01-01,-1.089651,16.710000,84.321800,125.400000,162.000000,5.357000
1998-02-01,-0.440421,16.060000,84.458300,125.000000,162.000000,5.417895
1998-03-01,-0.061797,15.020000,84.488000,124.700000,162.000000,5.561364
1998-04-01,-0.120628,15.440000,84.777900,124.900000,162.200000,5.564286
1998-05-01,-0.430292,14.860000,85.336700,125.100000,162.600000,5.593500
1998-06-01,-0.743620,13.660000,84.824800,124.800000,162.800000,5.520000
1998-07-01,-0.923841,14.080000,84.498600,124.900000,163.200000,5.458182
1998-08-01,-0.898963,13.360000,86.248000,124.200000,163.400000,5.268571
1998-09-01,-0.910216,14.950000,86.202100,123.800000,163.500000,4.666190
1998-10-01,-0.682971,14.390000,86.791400,124.000000,163.900000,4.091905
1998-11-01,-0.860696,12.850000,86.725600,123.600000,164.100000,4.540000
1998-12-01,-0.617848,11.280000,87.118500,122.800000,164.400000,4.506364
1999-01-01,-0.283428,12.470000,87.494900,122.900000,164.700000,4.615263
1999-02-01,-0.001303,12.010000,88.027000,122.300000,164.700000,4.876316
1999-03-01,-0.274413,14.660000,88.226700,122.600000,164.800000,5.053043
1999-04-01,-0.219632,17.340000,88.429500,123.600000,165.900000,4.976818
1999-05-01,-0.356271,17.750000,88.988600,124.700000,166.000000,5.254500
1999-06-01,-0.367343,17.890000,88.918800,125.200000,166.000000,5.618636
1999-07-01,-0.617412,20.070000,89.433300,125.700000,166.700000,5.554762
1999-08-01,-0.450921,21.260000,89.792400,126.900000,167.100000,5.678182
1999-09-01,-0.385411,23.880000,89.429900,128.000000,167.800000,5.661905
1999-10-01,-0.118290,22.640000,90.523000,127.700000,168.100000,5.862500
1999-11-01,-0.166542,24.970000,90.961800,128.300000,168.400000,5.862000
1999-12-01,-0.205760,26.080000,91.663400,127.800000,168.800000,6.104545
2000-01-01,-0.612705,27.180000,91.538000,128.300000,169.300000,6.440000
2000-02-01,-0.417504,29.350000,91.823900,129.800000,170.000000,6.610500
2000-03-01,-0.279858,29.890000,92.150400,130.800000,171.000000,6.528261
2000-04-01,0.126103,25.740000,92.698900,130.700000,170.900000,6.403684
2000-05-01,0.279531,28.780000,92.949900,131.600000,171.200000,6.809545
2000-06-01,0.044436,31.830000,92.986200,133.800000,172.200000,6.481818
2000-07-01,-0.013323,29.770000,92.804800,133.700000,172.700000,6.339000
2000-08-01,0.088444,31.220000,92.552100,132.900000,172.700000,6.228696
2000-09-01,0.043535,33.880000,92.979200,134.700000,173.600000,6.081500
2000-10-01,-0.518868,33.080000,92.617900,135.400000,173.900000,5.912381
2000-11-01,-0.732311,34.400000,92.643800,135.000000,174.200000,5.875238
2000-12-01,-0.916217,28.460000,92.341500,136.200000,174.600000,5.352000
2001-01-01,-0.913496,29.580000,91.902000,140.000000,175.600000,4.760000
2001-02-01,-0.768062,29.610000,91.303400,137.400000,176.000000,4.656842
2001-03-01,-0.573946,27.240000,91.116200,135.900000,176.100000,4.342273
2001-04-01,-0.987612,27.410000,90.789100,136.400000,176.400000,4.234000
2001-05-01,-1.106484,28.640000,90.355500,136.800000,177.300000,4.260000
2001-06-01,-0.687365,27.600000,89.878400,135.500000,177.700000,4.080000
2001-07-01,-0.822213,26.450000,89.302800,133.400000,177.400000,4.038571
2001-08-01,-0.777090,27.470000,89.200300,133.400000,177.400000,3.757391
2001-09-01,-0.668397,25.880000,88.748500,133.300000,178.100000,3.118824
2001-10-01,-1.204730,22.210000,88.505200,130.300000,177.600000,2.725909
2001-11-01,-1.425431,19.670000,87.970000,129.800000,177.500000,2.782500
2001-12-01,-1.151359,19.330000,87.932400,128.100000,177.400000,3.107000
2002-01-01,-0.905260,19.670000,88.517600,128.500000,177.700000,3.028095
2002-02-01,-0.469425,20.740000,88.527800,128.400000,178.000000,3.015263
2002-03-01,-0.428818,24.420000,89.168600,129.800000,178.500000,3.557500
2002-04-01,-0.580339,26.270000,89.604000,130.800000,179.300000,3.422727
2002-05-01,-0.308120,27.020000,89.964000,130.800000,179.500000,3.264091
2002-06-01,-0.620005,25.520000,90.706100,130.900000,179.600000,2.993000
2002-07-01,-0.945291,26.940000,90.676900,131.200000,180.000000,2.556818
2002-08-01,-1.075024,28.380000,90.576200,131.500000,180.500000,2.133636
2002-09-01,-1.130043,29.670000,90.653100,132.300000,180.800000,2.004500
2002-10-01,-1.228918,28.850000,90.464300,133.200000,181.200000,1.911818
2002-11-01,-0.752226,26.270000,90.971100,133.100000,181.500000,1.923158
2002-12-01,-0.685577,29.420000,90.465200,132.900000,181.800000,1.836190
2003-01-01,-0.626785,32.940000,91.236100,135.300000,182.600000,1.743333
2003-02-01,-0.306237,35.870000,91.344500,137.600000,183.600000,1.627895
2003-03-01,-0.323937,33.550000,91.104400,141.200000,183.900000,1.573810
2003-04-01,-0.552646,28.250000,90.561700,136.800000,183.200000,1.622381
2003-05-01,-0.199849,28.140000,90.537000,136.700000,182.900000,1.415238
2003-06-01,-0.113519,30.720000,90.652700,138.000000,183.100000,1.227143
2003-07-01,0.001218,30.760000,91.118500,137.700000,183.700000,1.474091
2003-08-01,-0.066603,31.590000,90.919700,138.000000,184.500000,1.864286
2003-09-01,0.059363,28.290000,91.505900,138.500000,185.100000,1.706190
2003-10-01,-0.272492,30.330000,91.618600,139.300000,184.900000,1.747727
2003-11-01,-0.412732,31.090000,92.232900,138.900000,185.000000,1.926667
2003-12-01,-0.364472,32.150000,92.260200,139.500000,185.500000,1.907273
2004-01-01,-0.500051,34.270000,92.400600,141.400000,186.300000,1.761000
2004-02-01,-0.376833,34.740000,92.958000,142.100000,186.700000,1.740000
2004-03-01,-0.001275,36.760000,92.586100,143.100000,187.100000,1.577826
2004-04-01,0.415932,36.690000,92.930000,144.800000,187.400000,2.070952
